"?I,10$D6#",1.0
"?I,11$D7#",1.1
"?I,12$D8#",1.2
"?I,13$D9#",1.3
"?I,14$DA#",1.4
"?I,15$DB#",1.5
"?I,16$DC#",1.6
"?I,17$DD#",1.7
"?I,18$DE#",1.8
"?I,19$DF#",1.9
"?I,20$D7#",2.0
"?I,21$D8#",2.1
"?I,22$D9#",2.2
"?I,23$DA#",2.3
"?I,24$DB#",2.4
"?I,25$DC#",2.5
"?I,26$DD#",2.6
"?I,27$DE#",2.7
"?I,28$DF#",2.8
"?I,29$E0#",2.9
"?I,30$D8#",3.0
"?I,31$D9#",3.1
"?I,32$DA#",3.2
"?I,33$DB#",3.3
"?I,34$DC#",3.4
"?I,35$DD#",3.5
"?I,36$DE#",3.6
"?I,37$DF#",3.7
"?I,38$E0#",3.8
"?I,39$E1#",3.9
"?I,40$D9#",4.0
"?I,41$DA#",4.1
"?I,42$DB#",4.2
"?I,43$DC#",4.3
"?I,44$DD#",4.4
"?I,45$DE#",4.5
"?I,46$DF#",4.6
"?I,47$E0#",4.7
"?I,48$E1#",4.8
"?I,49$E2#",4.9
"?I,50$DA#",5.0
"?I,51$DB#",5.1
"?I,52$DC#",5.2
"?I,53$DD#",5.3
"?I,54$DE#",5.4
"?I,55$DF#",5.5
"?I,56$E0#",5.6
"?I,57$E1#",5.7
"?I,58$E2#",5.8
"?I,59$E3#",5.9
"?I,60$DB#",6.0
"?I,61$DC#",6.1
"?I,62$DD#",6.2
"?I,63$DE#",6.3
"?I,64$DF#",6.4
"?I,65$E0#",6.5
"?I,66$E1#",6.6
"?I,67$E2#",6.7
"?I,68$E3#",6.8
"?I,69$E4#",6.9
"?I,70$DC#",7.0
"?I,71$DD#",7.1
"?I,72$DE#",7.2
"?I,73$DF#",7.3
"?I,74$E0#",7.4
"?I,75$E1#",7.5
"?I,76$E2#",7.6
"?I,77$E3#",7.7
"?I,78$E4#",7.8
"?I,79$E5#",7.9
"?I,80$DD#",8.0
"?I,81$DE#",8.1
"?I,82$DF#",8.2
"?I,83$E0#",8.3
"?I,84$E1#",8.4
"?I,85$E2#",8.5
"?I,86$E3#",8.6
"?I,87$E4#",8.7
"?I,88$E5#",8.8
"?I,89$E6#",8.9
"?I,90$DE#",9.0
"?I,91$DF#",9.1
"?I,92$E0#",9.2
"?I,93$E1#",9.3
"?I,94$E2#",9.4
"?I,95$E3#",9.5
"?I,96$E4#",9.6
"?I,97$E5#",9.7
"?I,98$E6#",9.8
"?I,99$E7#",9.9
"?I,100$06#",10.0
"?I,101$07#",10.1
"?I,102$08#",10.2
"?I,103$09#",10.3
"?I,104$0A#",10.4
"?I,105$0B#",10.5
"?I,106$0C#",10.6
"?I,107$0D#",10.7
"?I,108$0E#",10.8
"?I,109$0F#",10.9
"?I,110$07#",11.0
"?I,111$08#",11.1
"?I,112$09#",11.2
"?I,113$0A#",11.3
"?I,114$0B#",11.4
"?I,115$0C#",11.5
"?I,116$0D#",11.6
"?I,117$0E#",11.7
"?I,118$0F#",11.8
"?I,119$10#",11.9
"?I,120$08#",12.0
"?I,121$09#",12.1
"?I,122$0A#",12.2
"?I,123$0B#",12.3
"?I,124$0C#",12.4
"?I,125$0D#",12.5
"?I,126$0E#",12.6
"?I,127$0F#",12.7
"?I,128$10#",12.8
"?I,129$11#",12.9
"?I,130$09#",13.0
"?I,131$0A#",13.1
"?I,132$0B#",13.2
"?I,133$0C#",13.3
"?I,134$0D#",13.4
"?I,135$0E#",13.5
"?I,136$0F#",13.6
"?I,137$10#",13.7
"?I,138$11#",13.8
"?I,139$12#",13.9
"?I,140$0A#",14.0
"?I,141$0B#",14.1
"?I,142$0C#",14.2
"?I,143$0D#",14.3
"?I,144$0E#",14.4
"?I,145$0F#",14.5
"?I,146$10#",14.6
"?I,147$11#",14.7
"?I,148$12#",14.8
"?I,149$13#",14.9
"?I,150$0B#",15.0
"?I,151$0C#",15.1
"?I,152$0D#",15.2
"?I,153$0E#",15.3
"?I,154$0F#",15.4
"?I,155$10#",15.5
"?I,156$11#",15.6
"?I,157$12#",15.7
"?I,158$13#",15.8
"?I,159$14#",15.9
"?I,160$0C#",16.0
"?I,161$0D#",16.1
"?I,162$0E#",16.2
"?I,163$0F#",16.3
"?I,164$10#",16.4
"?I,165$11#",16.5
"?I,166$12#",16.6
"?I,167$13#",16.7
"?I,168$14#",16.8
"?I,169$15#",16.9
"?I,170$0D#",17.0
"?I,171$0E#",17.1
"?I,172$0F#",17.2
"?I,173$10#",17.3
"?I,174$11#",17.4
"?I,175$12#",17.5
"?I,176$13#",17.6
"?I,177$14#",17.7
"?I,178$15#",17.8
"?I,179$16#",17.9
"?I,180$0E#",18.0
"?I,181$0F#",18.1
"?I,182$10#",18.2
"?I,183$11#",18.3
"?I,184$12#",18.4
"?I,185$13#",18.5
"?I,186$14#",18.6
"?I,187$15#",18.7
"?I,188$16#",18.8
"?I,189$17#",18.9
"?I,190$0F#",19.0
"?I,191$10#",19.1
"?I,192$11#",19.2
"?I,193$12#",19.3
"?I,194$13#",19.4
"?I,195$14#",19.5
"?I,196$15#",19.6
"?I,197$16#",19.7
"?I,198$17#",19.8
"?I,199$18#",19.9
"?I,200$07#",20.0
